CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
32.32,18.0%,366.23,183.26,"Group Average - MRE 33>Snack Breads",0,0,1.39,5.99,.41,.05,11.0%,199.5,1.58,57,8.0%,6.0%,9.83,0,.03,0,.2,36.65,0.0%,1.48,MRE33,75,9.9,15.0%,46.86,0.0%,8.0%,1.92,9.0%,MENU Groups,.14,4.23,1.5,0.0%,.29,0,.26,"MRE 33>Snack Breads"
17.28,0.0%,2.4,2.33,"Group Average - MRE 33>Jam/Jelly",0,0,.05,.01,0,0,6.0%,68.51,0,28,0.0%,1.0%,.06,0,0,0,0,0,3.0%,.25,MRE33,.32,.03,0.0%,11.8,0.0%,0.0%,0,0.0%,MENU Groups,0,.08,0,0.0%,1.8,0,0,"MRE 33>Jam/Jelly"
49.9,0.0%,103.95,3.84,"Licorice Bite Size>Cherry",0,,.23,1.7,.32,.01,17.0%,222.39,.77,63,4.0%,3.0%,12.29,,.19,0,.03,3.78,1.0%,.78,MRE33,19.34,5.71,4.0%,35.85,0.0%,1.0%,.24,3.0%,MENU Groups,.02,1.95,0,0.0%,.63,0,.17,"MRE 33>Candy I"
30.56,4.0%,104,44.4,"Toffee>Chocolate Flavored>Cube",0,4.36,2.16,3.08,.06,.01,10.0%,157.2,1.81,40,9.0%,7.000000000000001%,1.88,,.16,2.7,.02,2.4,1.0%,1.86,MRE33,56.4,20.72,4.0%,107.2,1.0%,12.0%,.12,5.0%,MENU Groups,.07,2,.06,1.0%,.4,51.6,.48,"MRE 33>Candy I"
23.16,1.0%,16.58,12.68,"Toffee>Chocolate Flavored>Roll",0,,.38,2.63,.36,.01,8.0%,116.76,.55,28,3.0%,2.0%,.84,,.03,0,.01,1.68,0.0%,.45,MRE33,19.57,6.22,1.0%,38.92,0.0%,2.0%,.04,4.0%,MENU Groups,.03,.32,.76,0.0%,.28,0,.09,"MRE 33>Candy I"
34.54,2.0%,74.84,20.31,"Group Average - MRE 33>Candy I",0,4.36,.92,2.47,.25,.01,12.0%,165.45,1.04,43.67,5.0%,4.0%,5,0,.13,.9,.02,2.62,1.0%,1.03,MRE33,31.77,10.88,3.0%,60.66,0.0%,5.0%,.13,4.0%,MENU Groups,.04,1.42,.27,0.0%,.44,17.2,.25,"MRE 33>Candy I"
56.33,0.0%,12.05,1.55,"Group Average - MRE 33>Candy III",0,0,.12,2.86,.28,0,19.0%,249.38,2.34,61.5,12.0%,2.0%,1.85,0,.07,0,.01,3.69,59.0%,.62,MRE33,1.29,.62,1.0%,5.04,0.0%,1.0%,.03,4.0%,MENU Groups,.01,.28,.03,0.0%,35.24,0,.02,"MRE 33>Candy III"
31.4,5.0%,29.15,49.8,"Pan Coated Chocolate Disks>Peanut",0,1.53,.7,13,1.06,.11,10.0%,257.5,5.2,50,26.0%,8.0%,2.5,,.17,4.72,.04,13.9,1.0%,1.97,MRE33,96,39,1.0%,157,0.0%,4.0%,1.82,20.0%,MENU Groups,.16,4.5,.24,2.0%,.5,0,.69,"MRE 33>Candy II"
35.06,6.0%,30.56,60.35,"Pan Coated Chocolate Disks>Plain",0,,.91,9.1,.24,.02,12.0%,231.36,5.51,47.9,28.000000000000004%,5.0%,1.63,,.21,5,.03,3.21,1.0%,1.3,MRE33,77.12,27.73,1.0%,145.14,0.0%,5.0%,.15,14.000000000000002%,MENU Groups,.16,2.44,.07,2.0%,.48,20.9,.54,"MRE 33>Candy II"
25.93,2.0%,63.64,21.84,"Pan Coated Disks>Peanut Butter",0,2.6,.36,11.27,.2,.1,9.0%,216.29,8.39,43,42.0%,5.0%,1.68,,.06,0,.03,15.05,1.0%,1.33,MRE33,89.01,38.31,3.0%,159.96,0.0%,2.0%,3.09,17.0%,MENU Groups,.02,5.38,.09,0.0%,.43,0,.61,"MRE 33>Candy II"
