CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
31.4,.05,29.15,49.8,"Pan Coated Chocolate Disks>Peanut",0,1.53,.7,13,1.06,.11,.1,257.5,5.2,50,.26,.08,2.5,,.17,4.72,.04,13.9,.01,1.97,MRE32,96,39,.01,157,0,.04,1.82,.2,MENU Groups,.16,4.5,.24,.02,.5,0,.69,"MRE 32>Candy II"
35.06,.06,30.56,60.35,"Pan Coated Chocolate Disks>Plain",0,,.91,9.1,.24,.02,.12,231.36,5.51,47.9,.28,.05,1.63,,.21,5,.03,3.21,.01,1.3,MRE32,77.12,27.73,.01,145.14,0,.05,.15,.14,MENU Groups,.16,2.44,.07,.02,.48,20.9,.54,"MRE 32>Candy II"
25.93,.02,63.64,21.84,"Pan Coated Disks>Peanut Butter",0,2.6,.36,11.27,.2,.1,.09,216.29,8.39,43,.42,.05,1.68,,.06,0,.03,15.05,.01,1.33,MRE32,89.01,38.31,.03,159.96,0,.02,3.09,.17,MENU Groups,.02,5.38,.09,0,.43,0,.61,"MRE 32>Candy II"
30.8,.04,41.12,44,"Group Average - MRE 32>Candy II",0,0,.65,11.12,.5,.08,.1,235.05,6.36,46.97,.32,.06,1.94,0,.15,3.33,.03,10.72,.01,1.53,MRE32,87.38,35.02,.02,154.03,0,.04,1.69,.17,MENU Groups,.11,4.1,.13,.01,.47,6.97,.61,"MRE 32>Candy II"
56.33,0,12.05,1.55,"Group Average - MRE 32>Candy III",0,0,.12,2.86,.28,0,.19,249.38,2.34,61.5,.12,.02,1.85,0,.07,0,.01,3.69,.59,.62,MRE32,1.29,.62,.01,5.04,0,.01,.03,.04,MENU Groups,.01,.28,.03,0,35.24,0,.02,"MRE 32>Candy III"
42.63,.36,158.2,357.35,"Dairyshake Powder>Chocolate>Fortified 70 grams",0,,1.62,11.34,.47,.16,.14,316.75,2.35,70,.12,.05,10.26,,1.4,,.07,14.63,.03,1.35,MRE32,354.9,46.76,.07,674.45,.15,.09,.46,.17,MENU Groups,.59,11.62,3.93,,1.82,740.95,1.4,"MRE 32>Dairyshake"
42.56,.38,170.8,377.65,"Dairyshake Powder>Strawberry Banana>Fortified>70 grams",0,,.21,11.03,.6,.1,.14,316.05,2.33,70,.12,.08,14.53,,1.62,0,.09,10.05,.03,1.89,MRE32,361.2,34.3,.07,600.95,.07,.01,.37,.17,MENU Groups,.61,12.04,3.78,0,2.07,364.7,1.59,"MRE 32>Dairyshake"
42.42,.38,170.45,383.95,"Dairyshake Powder>Strawberry>Fortified 70 grams",0,,.19,11.41,.45,.17,.14,317.45,2.23,70,.11,.03,11.34,,1.57,,.07,12.99,.02,.67,MRE32,359.45,33.88,.07,596.75,.11,.01,.37,.18,MENU Groups,.6,11.87,4.07,,1.37,536.9,1.25,"MRE 32>Dairyshake"
41.23,.37,166.6,365.4,"Dairyshake Powder>Vanilla>Fortified 70 grams",0,,.18,13.09,.43,.17,.14,324.8,1.89,70,.09,.03,10.36,,1.65,,.06,10.71,.04,.7,MRE32,376.6,31.78,.07,638.4,.11,.01,.35,.2,MENU Groups,.59,11.69,3.61,,2.24,534.8,1.25,"MRE 32>Dairyshake"
42.21,.37,166.51,371.09,"Group Average - MRE 32>Dairyshake",0,0,.55,11.72,.49,.15,.14,318.76,2.2,70,.11,.05,11.62,0,1.56,0,.07,12.09,.03,1.15,MRE32,363.04,36.68,.07,627.64,.11,.03,.39,.18,MENU Groups,.6,11.8,3.85,0,1.87,544.34,1.37,"MRE 32>Dairyshake"
