CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
18.42,.04,5.6,43.12,"Nut and Fruit Mix>Sunflower Kernels and Infused Fruit",0,1.07,21.17,3.65,.31,.06,314.72,3.18,56,.16,.42,4.65,.07,0,.08,47.66,.01,10.58,FSR2008,190.96,91.84,0,339.92,0,.06,5.88,.33,MENU 2,.09,12.6,.03,0,.56,0,1.57,Snack
35.31,.01,164.09,12.73,"Toaster Pastry>Frosted Brown Sugar Cinnamon",0,1.88,6.06,1.14,.31,.12,204.09,1.72,51,.09,.04,2.76,.06,0,.17,40.06,.01,.94,FSR2008,38.75,6.55,.07,48.65,.11,.1,2.39,.09,MENU 2,.25,2.45,.66,0,.51,536.7,.23,Snack
5.51,.02,608.4,15.21,"Beef Snacks>Teriyaki",0,1.23,2.94,.26,.06,.02,78.26,1.33,26,.07,.02,6.94,1.54,20,.03,5.82,0,.54,FSR2008,72.28,12.58,.25,167.44,.01,.07,1.37,.05,MENU 2,.15,7.8,.13,.07,.26,26.9,1.31,Snack
4.91,.01,564.2,13.7,"Beef Snacks>Barbecue",0,1.16,2.78,.33,.05,.02,76.7,1.17,26,.06,.03,6.37,1.53,20,.03,5.36,0,.72,FSR2008,73.06,12.4,.24,173.94,.03,.06,1.38,.04,MENU 2,.15,8.61,.13,.07,.26,131.2,1.29,Snack
26.99,.01,47.43,10.92,"First Strike Bar>Mini>Cran-Raspberry",0,.34,2.54,6.89,.48,.09,135.98,.64,35,.03,.08,1.63,.76,3.91,.22,109.03,.31,1.9,FSR2008,36.86,14.89,.02,70.88,0,.02,3.8,.04,MENU 2,.4,1.44,.62,.01,18.46,0,2,Snack
33.05,.06,431.52,56.23,Tortillas,0,2.06,8.06,.52,.02,.11,222.58,2.22,62,.11,.04,9.92,.11,0,.24,60.7,.01,1.05,FSR2008,155,12.15,.18,93.62,0,.11,2.93,.12,MENU 2,.2,4.9,2.16,0,.62,0,.31,Bread/Crax
27.54,.22,169.99,222.94,"Crackers>Plain",0,2.12,5.74,.53,.36,.09,174.68,1.23,38.6,.06,.1,2.33,.05,0,.37,62.32,.02,2.59,FSR2008,44.15,10.47,.07,61.52,0,.12,2.81,.09,MENU 2,.37,3.41,1.73,0,1.04,11.1,.36,Bread/Crax
10.8,.02,207.83,21.12,"Peanut Butter>Smooth",0,.78,20.4,3.94,1.82,.04,266.05,4.42,42.5,.22,.1,2,.05,0,.71,28.56,.74,2.5,FSR2008,158.1,73.1,.09,282.2,.55,.04,5.48,.31,MENU 2,.08,9.59,.02,0,44.63,2749.8,1.35,Spread
10,,,,"Caffeinated Gum>Cinnamon",0,,,,,.03,50,,12.5,,,,,,,,,,FSR2008,,,,, ,,,,MENU 2,,,,,,,,Candy
.04,0,22.6,.6,"Hot Sauce>Extra Hot 4x",0,.06,.02,0,.01,0,0,,4,,,,0,0,0,0,0,,FSR2008,.68,.4,.01,4.12, ,0,.01,0,MENU 2,0,.03,,0,0,,0,Condiment
